wall_id,vertex_id,x,y
0,BEGIN,NaN,NaN
0,0,-22.777685,80.941269
0,1,-22.712635,80.941269
0,2,-22.647585,80.941269
0,3,-22.582535,80.941269
0,4,-22.517485,80.941269
0,5,-22.452435,80.941269
0,6,-22.387385,80.941269
0,7,-22.322335,80.941269
0,8,-22.257285,80.941269
0,9,-22.192235,80.941269
0,10,-22.127185,80.941269
0,11,-22.062135,80.941269
0,12,-21.997085,80.941269
0,13,-21.932035,80.941269
0,14,-21.866985,80.941269
0,15,-21.801935,80.941269
0,16,-21.736885,80.941269
0,17,-21.671835,80.941269
0,18,-21.606785,80.941269
0,19,-21.541735,80.941269
0,20,-21.476685,80.941269
0,21,-21.411635,80.876219
0,22,-21.346585,80.876219
0,23,-21.281535,80.876219
0,24,-21.216485,80.876219
0,25,-21.151435,80.876219
0,26,-21.086385,80.876219
0,27,-21.021335,80.876219
0,28,-20.956285,80.876219
0,29,-20.891235,80.876219
0,30,-20.826185,80.876219
0,31,-20.761135,80.876219
0,32,-20.696085,80.876219
0,33,-20.631035,80.811169
0,34,-20.565985,80.811169
0,35,-20.500935,80.811169
0,36,-20.435885,80.811169
0,37,-20.370835,80.811169
0,38,-20.305785,80.811169
0,39,-20.240735,80.811169
0,40,-20.175685,80.746119
0,41,-20.110635,80.746119
0,42,-20.045585,80.746119
0,43,-19.980535,80.746119
0,44,-19.915485,80.746119
0,45,-19.850435,80.746119
0,46,-19.785385,80.681069
0,47,-19.720335,80.681069
0,48,-19.655285,80.681069
0,49,-19.590235,80.681069
0,50,-19.525185,80.681069
0,51,-19.460135,80.616019
0,52,-19.395085,80.616019
0,53,-19.330035,80.616019
0,54,-19.264985,80.616019
0,55,-19.199935,80.550969
0,56,-19.134885,80.550969
0,57,-19.069835,80.550969
0,58,-19.004785,80.550969
0,59,-18.939735,80.485919
0,60,-18.874685,80.485919
0,61,-18.809635,80.485919
0,62,-18.744585,80.485919
0,63,-18.679535,80.420869
0,64,-18.614485,80.420869
0,65,-18.549435,80.420869
0,66,-18.484385,80.355819
0,67,-18.419335,80.355819
0,68,-18.354285,80.355819
0,69,-18.289235,80.290769
0,70,-18.224185,80.290769
0,71,-18.159135,80.290769
0,72,-18.094085,80.225719
0,73,-18.029035,80.225719
0,74,-17.963985,80.225719
0,75,-17.898935,80.160669
0,76,-17.833885,80.160669
0,77,-17.768835,80.095619
0,78,-17.703785,80.095619
0,79,-17.638735,80.095619
0,80,-17.573685,80.030569
0,81,-17.508635,80.030569
0,82,-17.443585,79.965519
0,83,-17.378535,79.965519
0,84,-17.313485,79.900469
0,85,-17.248435,79.900469
0,86,-17.183385,79.900469
0,87,-17.118335,79.835419
0,88,-17.053285,79.835419
0,89,-16.988235,79.770369
0,90,-16.923185,79.770369
0,91,-16.858135,79.705319
0,92,-16.793085,79.705319
0,93,-16.728035,79.640269
0,94,-16.662985,79.640269
0,95,-16.597935,79.575219
0,96,-16.532885,79.510169
0,97,-16.467835,79.510169
0,98,-16.402785,79.445119
0,99,-16.337735,79.445119
0,100,-16.272685,79.380069
0,101,-16.207635,79.315019
0,102,-16.142585,79.315019
0,103,-16.077535,79.249969
0,104,-16.012485,79.184919
0,105,-15.947435,79.184919
0,106,-15.882385,79.119869
0,107,-15.817335,79.054819
0,108,-15.752285,79.054819
0,109,-15.687235,78.989769
0,110,-15.622185,78.924719
0,111,-15.557135,78.859669
0,112,-15.492085,78.859669
0,113,-15.427035,78.794619
0,114,-15.361985,78.729569
0,115,-15.296935,78.664519
0,116,-15.231885,78.664519
0,117,-15.166835,78.599469
0,118,-15.101785,78.534419
0,119,-15.036735,78.469369
0,120,-14.971685,78.404319
0,121,-14.906635,78.339269
0,122,-14.841585,78.339269
0,123,-14.776535,78.274219
0,124,-14.711485,78.209169
0,125,-14.646435,78.144119
0,126,-14.581385,78.079069
0,127,-14.516335,78.014019
0,128,-14.451285,77.948969
0,129,-14.386235,77.883919
0,130,-14.321185,77.883919
0,131,-14.256135,77.818869
0,132,-14.191085,77.753819
0,133,-14.126035,77.688769
0,134,-14.060985,77.623719
0,135,-13.995935,77.558669
0,136,-13.930885,77.493619
0,137,-13.865835,77.428569
0,138,-13.800785,77.363519
0,139,-13.735735,77.298469
0,140,-13.670685,77.233419
0,141,-13.605635,77.168369
0,142,-13.540585,77.103319
0,143,-13.475535,77.103319
0,144,-13.475535,77.038269
0,145,-13.410485,76.973219
0,146,-13.345435,76.908169
0,147,-13.280385,76.843119
0,148,-13.215335,76.778069
0,149,-13.150285,76.713019
0,150,-13.085235,76.647969
0,151,-13.020185,76.582919
0,152,-13.020185,76.517869
0,153,-12.955135,76.452819
0,154,-12.890085,76.387769
0,155,-12.825035,76.322719
0,156,-12.825035,76.257669
0,157,-12.759985,76.192619
0,158,-12.694935,76.127569
0,159,-12.629885,76.062519
0,160,-12.629885,75.997469
0,161,-12.564835,75.932419
0,162,-12.499785,75.867369
0,163,-12.434735,75.802319
0,164,-12.434735,75.737269
0,165,-12.369685,75.672219
0,166,-12.304635,75.607169
0,167,-12.304635,75.542119
0,168,-12.239585,75.477069
0,169,-12.174535,75.412019
